convo_id,avg_out_degree,n_nodes,avg_how_enjoyable,conv_length_min,n_participants,sex_pair
0af09289-1953-4e71-bee5-b34a5828fe52,1.4444444444444444,9,7.5,26.0,2,FF
0aff0afe-6552-4f0d-a868-265e51c25bf2,1.0,10,9.0,27.0,2,FF
0b019c01-a6b7-4753-afa3-f7bf964932c9,1.25,12,5.5,30.0,2,MM
0b30b3be-4bc7-4b70-a484-cb00707dd282,1.5,10,5.5,25.0,2,MM
0baae204-e051-464a-982d-70df8b90608b,1.5555555555555556,9,6.5,27.0,2,FF
0bd4dd2c-1cf0-46fb-87d3-a88b1de310a6,1.1428571428571428,7,7.0,25.0,2,FM
0beee373-bc7a-44e2-929f-e3419d82835e,1.1,10,8.5,32.0,2,FM
0bfaca02-9d10-4880-8065-749c1f8891cf,1.2,10,8.0,26.0,2,FF
0bfe2cba-bf84-4a8b-887d-f19378aa07d8,1.2222222222222223,9,8.0,26.0,2,FF
0c6b3a4a-7832-44ea-8830-ff727f2b803c,1.0,10,6.5,25.0,2,FM
0c9e034f-2fdc-4ba8-b104-1fe709f786f5,1.375,8,8.5,26.0,2,FM
0cf5b16b-83b5-476d-a2d2-c696a4297f6c,1.5,6,6.5,25.0,2,FM
0cf99695-c570-4da0-85f9-02f9bc109e5b,1.1666666666666667,6,4.5,27.0,2,FF
0cfc4a5e-dc61-4f61-8f8c-81c977e2f4dc,1.375,8,7.5,30.0,2,FM
0d0b2f79-3370-4a86-9a21-a723847ff204,1.25,8,8.5,32.0,2,MM
0d0c3cc7-667b-483e-a2f1-7028ecbed62e,1.4285714285714286,7,7.5,25.0,2,FF
0d4a795e-7026-4d98-b6d0-739a2c7c1661,1.5,10,6.0,27.0,2,FM
0d4f91ca-dcee-47f3-8549-7bf112a2d77e,1.4,5,7.5,26.0,2,MM
0d7fc2a3-37b2-44b8-a60a-c69d6016b65e,1.5,12,8.5,45.0,2,FM
0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788,1.3333333333333333,9,8.5,29.0,2,FF
0dc1cce3-6b9c-4c8d-bcfe-32909fab0a8c,1.5,8,6.0,28.0,2,MM
0dd022be-f343-4afb-b170-0dc8003078c7,1.3,10,5.5,28.0,2,FF
0e27c49b-ebf3-4b9a-9b55-3d371a44dc58,1.7272727272727273,11,8.0,30.0,2,UNK
0e772ef8-9014-48a8-8eb9-762ef55b4fe9,1.1666666666666667,6,7.0,27.0,2,FM
0e8d198c-fe6c-400c-a88b-5a3ead8567bc,1.0,9,6.5,28.0,2,MM
0e9c68be-efc0-40cf-8a9e-06f818063cb9,2.3333333333333335,15,9.0,88.0,2,FF
0f263deb-4828-4682-9759-86e37c84e5fa,1.0833333333333333,12,7.0,32.0,2,FM
0f4a13e4-64ae-4a98-9698-0166e5819808,1.0,7,7.0,28.0,2,FM
0f6c2eb4-5e44-46c7-8ea5-ddb74702beee,1.0,8,4.5,25.0,2,FM
0f918385-c53f-4454-9f94-5e08a4419d6d,1.1428571428571428,7,7.0,28.0,2,UNK
0fd433c9-b0ef-416c-be8f-601fbf4875ce,1.0,8,5.0,25.0,2,FM
100af445-702a-4fbd-8474-ec3d17e9490e,1.1428571428571428,7,8.5,28.0,2,FF
1049c59b-7332-457b-8e5f-0ef9d0792719,1.4,10,7.5,25.0,2,FM
1051ef33-9361-41e2-89d9-46d4eb851508,1.5,14,8.0,30.0,2,MM
10d941d9-76ab-4d06-b9e0-35ddedb28ac8,1.125,8,8.0,27.0,2,MM
11303b4f-a7fe-4c9a-80cd-4191e3c2b930,1.5714285714285714,7,9.0,36.0,2,FF
113c581b-c891-4735-90c4-61f1e6efdf93,1.4166666666666667,12,8.5,65.0,2,FM
115ba192-7e26-497b-85b2-adf378b33387,1.2857142857142858,7,9.0,0.0,2,UNK
11cb78ed-49fb-4634-8a7a-3c59109563b5,1.1818181818181819,11,8.5,33.0,2,FM
11d12d5d-4913-4134-a768-79d47cb72374,1.5,10,8.0,33.0,2,FM
128f15b9-a6e4-4575-8b96-163ff189ee8e,1.25,8,5.0,27.0,2,UNK
12a3510d-960d-4ce2-9933-f473f4ee6800,1.0,8,8.0,27.0,2,FM
12b1692d-699f-430c-81bf-8f2add0796f5,1.6666666666666667,9,8.5,30.0,2,MM
12b99e75-a23d-42c7-bc81-24550224e5e9,1.5,6,9.0,48.0,2,FF
132bd17d-7109-4d08-87d3-00ae478d66b1,1.2857142857142858,7,8.5,27.0,2,MM
13a7bb68-28c3-41e0-83b7-ec01d0eb86ce,1.125,8,6.5,32.0,2,FM
13e15556-fa63-4315-a6ee-7b2c13156d1a,1.0,5,7.5,32.0,2,FF
13f6956b-ff2a-4ad3-aed6-8fd3cfdb2cd4,1.8333333333333333,12,9.0,3.0,2,UNK
14129310-675c-4ae1-b82d-d934b98ae14b,1.0909090909090908,11,7.0,25.0,2,UNK
1418f25e-a014-4119-9d6c-b67cdbe90b94,1.3076923076923077,13,6.0,40.0,2,FM
141ea746-d1f1-402d-9b0a-a4cdb0b1c4f0,1.0833333333333333,12,8.0,26.0,2,UNK
142c436c-0d8f-49ee-9725-291486519f67,1.1538461538461537,13,8.0,27.0,2,MM
14642cb6-c054-4403-9c04-ef62460950b5,1.1111111111111112,9,9.0,26.0,2,FF
14e34c4e-4e27-42d8-928f-ad4a71f80764,1.6,10,7.0,31.0,2,FF
14f2a116-4fd3-4ed8-b1c9-d0195052674b,1.1,10,6.5,25.0,2,FF
14f5fe6e-1c37-491d-87a7-4dda9d07966b,1.0,10,8.0,26.0,2,FF
