convo_id,avg_out_degree,n_nodes,avg_how_enjoyable,n_participants,sex_pair,conv_length_min
0020a0c5-1658-4747-99c1-2839e736b481,1.75,12,8.5,2,FM,45.477666666666664
002d68da-7738-4177-89d9-d72ae803e0e4,1.375,8,8.0,2,FM,36.72133333333333
00411458-8275-4b92-a000-d52187f03604,1.1428571428571428,7,7.5,2,FM,37.28516666666667
00ae2f18-9599-4df6-8e3a-6936c86b97f0,1.2,10,8.0,2,FF,31.133833333333328
00b410f7-8b5f-4404-8433-0fb8c4be8f62,1.5,8,7.0,2,FM,40.100166666666674
00deb2e5-cf7f-4a5c-a8db-7fc335634ad6,2.0625,16,8.0,2,FF,98.3535
010a1b2a-7b69-4245-807f-d94eb6aa165c,1.0,10,8.0,2,FM,32.592
012dd705-ee62-49f6-8016-cf2e3cc066e4,1.7857142857142858,14,9.0,2,FF,95.58283333333334
014a3227-9b4c-4f23-ad5b-8325235301ed,1.0,9,7.0,2,FM,38.63283333333334
015301b4-a132-4877-8bec-557e9b99a01c,1.1,10,7.5,2,FF,30.343666666666667
0159f2d4-f6db-46f8-b7c6-96a3df97b246,1.3333333333333333,6,6.5,2,MM,29.290333333333333
01849238-f5f0-487e-bca4-7b4fe0c9625c,1.8333333333333333,6,8.5,2,FM,31.2685
01a4c01c-cf0e-4f37-ab2b-641bb604af30,1.0909090909090908,11,5.5,2,FM,34.0855
01a62310-06c3-4b69-9d75-50f1e2f1dabf,1.25,12,6.0,2,FF,26.503666666666668
01b9ad1a-cf5c-466b-b227-dfe3a36d1359,1.7,10,7.5,2,FF,31.5105
01d74df6-2a6f-4c0a-b2c8-6aa4ac78ab18,1.3,10,8.0,2,FF,38.08683333333333
01e64778-2ce4-482d-814c-08360b12c88a,1.0,5,7.5,2,FM,29.2555
0203bb21-da17-416b-8e2f-018b99689616,2.0,7,7.5,2,FF,31.275333333333332
02053f7c-a002-4797-9139-037798747eb2,1.1818181818181819,11,6.5,2,FF,33.977
021cae92-8043-4ef1-b115-47b539bad870,1.0,5,8.0,2,MM,40.02166666666667
0235bac2-3469-447b-adae-e39559adfa4a,1.2222222222222223,9,6.0,2,MM,27.478666666666665
024c9be7-c98d-4a2e-b4a9-7884d0b0f626,1.4285714285714286,7,8.5,2,FM,27.668499999999998
026c91ab-94c5-482c-aba7-42e83a79c423,1.1,10,7.5,2,FM,28.047
0278950b-a7e0-4e15-8a2b-1629ff1b17ba,1.2222222222222223,9,7.0,2,UNK,34.124833333333335
02e02af3-8df5-4e65-a1b1-bb1a5ca44879,1.2857142857142858,7,8.0,2,FM,39.13033333333333
02f3959f-e462-42c7-b92e-9ef5a991b98e,1.375,8,4.5,2,FM,35.192
030c76ab-9e19-4b78-9a7a-86cd7ba8472a,1.3333333333333333,9,7.0,2,UNK,29.67683333333333
03567661-8004-4986-82d5-a32582ed9a6e,1.0,11,7.0,2,FF,34.6725
035b1a02-b973-47a0-bd65-cec240353f0c,1.0,8,8.5,2,FM,28.995166666666666
03d82c5a-c923-47de-90f8-621776ff6cbc,1.25,8,8.0,2,MM,68.96433333333333
0441a81c-70d4-4caf-83fb-84349edadc0a,1.1666666666666667,6,7.0,2,MM,31.495333333333335
04542d1a-168a-4f90-b7e3-33adb675525f,1.25,4,8.0,2,FF,26.337
047ad63e-bcb7-47c8-9e54-f53572e1ad5f,1.2857142857142858,7,6.5,2,FM,26.30683333333333
0480a711-11cc-4812-97e2-7a5fa69858fa,1.0,9,6.0,2,FM,33.142
0526291b-8050-4bb4-803c-ffb88cfcd3b3,1.1111111111111112,9,7.0,2,FM,27.03783333333333
0542c0f0-6c1e-4e54-b3df-afa48b19f9b5,1.5,12,8.0,2,FM,57.92166666666667
05aa5dd6-77ee-454e-ad3d-1e34b0d0b62b,1.0,7,6.0,2,FF,29.925333333333334
05c47f39-5d68-45d3-a760-45359a9e775b,1.1428571428571428,7,6.0,2,FM,30.160500000000003
05d984c2-1a2e-4bb2-8f4d-98c81fde6664,1.0,9,7.0,2,FF,27.655500000000004
05e45b17-5feb-4a07-9562-cdba59cd8f00,2.0,7,8.0,2,FM,35.095
05f15eb5-1fe9-4407-8006-bbec9814c2a4,1.25,4,7.0,2,MM,25.67683333333333
05f2e66d-b3b6-4bdc-8ae6-9b0241a58642,1.25,8,8.5,2,FF,30.415333333333333
061b2400-4107-4662-99cc-3c5ec58c8f93,1.0,5,5.0,2,MM,29.662166666666668
0697223a-23a7-4e7e-9917-6c8c7dc265c2,1.2222222222222223,9,7.5,2,FF,36.228500000000004
06a5a69a-362d-4947-b16d-d1d09dc075ec,1.0,7,8.5,2,FM,25.0285
06afb9c1-b367-45c7-a9ff-74c47a2cb61c,1.3636363636363635,11,9.0,2,FF,32.8805
06b83c0a-7bf1-4cf9-9e72-034615d97050,1.1666666666666667,12,9.0,2,FM,37.47616666666667
06d767f9-e1f9-4677-8fe6-40ca4b91e1ee,1.2857142857142858,7,8.0,2,FM,31.907
070845c2-dc10-4db8-b889-7a5704d31265,1.125,8,6.5,2,UNK,30.050333333333334
07094abd-8b2a-426a-8dca-edead45c2143,1.4285714285714286,7,7.0,2,FM,33.51016666666666
071cf0a9-87b3-4bd5-a6ca-f0798227e8e3,0.875,8,7.5,2,FF,26.765333333333334
0736fa95-99e8-4707-bd64-4552eb79d05a,1.3,10,6.0,2,FF,26.438666666666666
075926c6-9b88-42d2-8d03-f5fab051bfbb,1.125,8,8.0,2,UNK,27.675333333333334
0777bb85-b225-4fe4-b2d9-ee9bf19d3999,1.3,10,6.0,2,MM,39.372166666666665
07b732f9-a9e0-43e9-85a4-263a6d78af0d,1.2727272727272727,11,7.0,2,FF,35.86516666666667
07c818b1-0fe0-4c8c-972b-184da443fa5e,1.4545454545454546,11,8.0,2,FM,34.9205
07dcb0b8-bb2b-427e-b0d0-29e03550c560,1.3333333333333333,9,8.0,2,FM,30.1905
08faa0ab-2bfc-45f2-8286-715209b26de2,1.3333333333333333,9,7.0,2,MM,32.875
08fed9d5-6213-4742-94de-64a879fdf28c,1.1111111111111112,9,8.5,2,FM,27.820333333333334
093aadd5-f50d-4f43-9793-faf61c11a70c,1.4444444444444444,9,5.5,2,MM,31.342166666666667
0a0cf5b9-84f6-4d8d-8001-ec7fd4b7437a,1.1,10,6.0,2,FF,31.993499999999997
0a294776-ca94-4114-bc24-2bf3b0a0a813,1.3333333333333333,6,5.0,2,MM,43.594500000000004
0a6ce575-4650-4942-97c6-f220de641a0c,1.375,8,7.0,2,FF,30.487166666666667
0a84a137-b947-441c-b94c-a03f4a5851ea,1.1111111111111112,9,7.0,2,UNK,26.2305
0af09289-1953-4e71-bee5-b34a5828fe52,1.0,8,7.5,2,FF,27.881999999999998
0aff0afe-6552-4f0d-a868-265e51c25bf2,1.2222222222222223,9,9.0,2,FF,28.307
0b019c01-a6b7-4753-afa3-f7bf964932c9,1.4285714285714286,7,5.5,2,MM,35.61033333333333
0b30b3be-4bc7-4b70-a484-cb00707dd282,1.5,6,5.5,2,MM,26.362000000000002
0baae204-e051-464a-982d-70df8b90608b,1.4444444444444444,9,6.5,2,FF,27.580333333333332
0bd4dd2c-1cf0-46fb-87d3-a88b1de310a6,1.2857142857142858,7,7.0,2,FM,25.981999999999996
0beee373-bc7a-44e2-929f-e3419d82835e,1.0,4,8.5,2,FM,62.031666666666666
0bfaca02-9d10-4880-8065-749c1f8891cf,1.2727272727272727,11,8.0,2,FF,28.576999999999998
0bfe2cba-bf84-4a8b-887d-f19378aa07d8,1.2,10,8.0,2,FF,25.4205
0c6b3a4a-7832-44ea-8830-ff727f2b803c,1.0,9,6.5,2,FM,26.1635
0c9e034f-2fdc-4ba8-b104-1fe709f786f5,1.6666666666666667,6,8.5,2,FM,58.67016666666667
0cf5b16b-83b5-476d-a2d2-c696a4297f6c,1.375,8,6.5,2,FM,33.0685
0cf99695-c570-4da0-85f9-02f9bc109e5b,1.3333333333333333,6,4.5,2,FF,27.862000000000002
0cfc4a5e-dc61-4f61-8f8c-81c977e2f4dc,1.375,8,7.5,2,FM,34.38216666666666
0d0b2f79-3370-4a86-9a21-a723847ff204,1.375,8,8.5,2,MM,37.285
0d0c3cc7-667b-483e-a2f1-7028ecbed62e,1.3,10,7.5,2,FF,33.84016666666666
0d4a795e-7026-4d98-b6d0-739a2c7c1661,1.1,10,6.0,2,FM,26.94183333333333
0d4f91ca-dcee-47f3-8549-7bf112a2d77e,1.125,8,7.5,2,MM,31.1405
0d7fc2a3-37b2-44b8-a60a-c69d6016b65e,1.3333333333333333,12,8.5,2,FM,45.752833333333335
0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788,1.3,10,8.5,2,FF,31.53166666666667
0dc1cce3-6b9c-4c8d-bcfe-32909fab0a8c,1.125,8,6.0,2,MM,28.3705
0dd022be-f343-4afb-b170-0dc8003078c7,1.1818181818181819,11,5.5,2,FF,30.182000000000002
0e27c49b-ebf3-4b9a-9b55-3d371a44dc58,1.4285714285714286,14,8.0,2,UNK,30.958333333333332
0e772ef8-9014-48a8-8eb9-762ef55b4fe9,1.3333333333333333,6,7.0,2,FM,31.389
0e8d198c-fe6c-400c-a88b-5a3ead8567bc,1.2857142857142858,7,6.5,2,MM,39.6265
0e9c68be-efc0-40cf-8a9e-06f818063cb9,2.076923076923077,13,9.0,2,FF,89.946
0f263deb-4828-4682-9759-86e37c84e5fa,1.1428571428571428,14,7.0,2,FM,36.38533333333333
0f4a13e4-64ae-4a98-9698-0166e5819808,1.1666666666666667,6,7.0,2,FM,28.500333333333334
0f6c2eb4-5e44-46c7-8ea5-ddb74702beee,1.0,8,4.5,2,FM,28.122
0f918385-c53f-4454-9f94-5e08a4419d6d,1.0,4,7.0,2,UNK,29.147166666666667
0fd433c9-b0ef-416c-be8f-601fbf4875ce,1.125,8,5.0,2,FM,27.259
100af445-702a-4fbd-8474-ec3d17e9490e,1.3333333333333333,6,8.5,2,FF,29.953666666666663
1049c59b-7332-457b-8e5f-0ef9d0792719,1.375,8,7.5,2,FM,34.33533333333334
1051ef33-9361-41e2-89d9-46d4eb851508,1.2142857142857142,14,8.0,2,MM,55.995999999999995
10d941d9-76ab-4d06-b9e0-35ddedb28ac8,1.0,6,8.0,2,MM,27.374499999999998
11303b4f-a7fe-4c9a-80cd-4191e3c2b930,1.1428571428571428,7,9.0,2,FF,38.346666666666664
113c581b-c891-4735-90c4-61f1e6efdf93,1.625,8,8.5,2,FM,66.27966666666667
115ba192-7e26-497b-85b2-adf378b33387,1.1666666666666667,6,9.0,2,UNK,30.723833333333335
11cb78ed-49fb-4634-8a7a-3c59109563b5,1.3333333333333333,9,8.5,2,FM,36.00366666666666
11d12d5d-4913-4134-a768-79d47cb72374,1.3333333333333333,9,8.0,2,FM,35.785333333333334
128f15b9-a6e4-4575-8b96-163ff189ee8e,1.0,6,5.0,2,UNK,29.9355
12a3510d-960d-4ce2-9933-f473f4ee6800,1.1111111111111112,9,8.0,2,FM,31.839
12b1692d-699f-430c-81bf-8f2add0796f5,1.3,10,8.5,2,MM,34.90933333333333
12b99e75-a23d-42c7-bc81-24550224e5e9,1.2727272727272727,11,9.0,2,FF,51.4245
132bd17d-7109-4d08-87d3-00ae478d66b1,1.375,8,8.5,2,MM,26.735166666666668
13a7bb68-28c3-41e0-83b7-ec01d0eb86ce,1.3333333333333333,9,6.5,2,FM,32.42283333333333
13e15556-fa63-4315-a6ee-7b2c13156d1a,1.0,4,7.5,2,FF,32.53383333333333
13f6956b-ff2a-4ad3-aed6-8fd3cfdb2cd4,2.0,11,9.0,2,UNK,70.76416666666665
14129310-675c-4ae1-b82d-d934b98ae14b,1.2,10,7.0,2,UNK,30.773666666666667
1418f25e-a014-4119-9d6c-b67cdbe90b94,1.7142857142857142,7,6.0,2,FM,41.455
141ea746-d1f1-402d-9b0a-a4cdb0b1c4f0,1.625,8,8.0,2,UNK,26.363666666666667
142c436c-0d8f-49ee-9725-291486519f67,1.0,10,8.0,2,MM,30.296499999999998
14642cb6-c054-4403-9c04-ef62460950b5,1.0,9,9.0,2,FF,27.18683333333333
14e34c4e-4e27-42d8-928f-ad4a71f80764,1.0,10,7.0,2,FF,31.668833333333332
14f2a116-4fd3-4ed8-b1c9-d0195052674b,1.2222222222222223,9,6.5,2,FF,26.520166666666665
14f5fe6e-1c37-491d-87a7-4dda9d07966b,1.25,8,8.0,2,FF,28.387166666666666
1507fb8f-a797-4911-a695-15e9856cb173,1.375,8,4.0,2,FM,32.3755
152e9736-6632-4049-b7d6-58b721f7a146,1.0,9,8.0,2,MM,27.717
1550c143-9b3f-4d11-8001-0990ccd4a103,1.2,10,5.5,2,FF,29.916999999999998
155203ec-a9c3-49d7-a135-b8b3676d8658,1.0,4,7.0,2,MM,30.495
15e2e683-a9f6-4a51-9a03-27c138b50bdf,1.2727272727272727,11,6.5,2,FF,31.253833333333333
15fe8c92-30ba-47f5-a0ea-44a1cd47dba7,1.2727272727272727,11,9.0,2,FM,53.359
164bdd54-904f-4308-8d4e-90ba75777e31,1.0,6,5.5,2,FM,27.033166666666666
164f6283-d242-4804-96af-b01140c2a8cf,1.1666666666666667,6,6.0,2,FM,31.019333333333336
1672c478-3dd7-400f-8be4-e474b1044eb8,1.2222222222222223,9,7.0,2,FF,27.009166666666665
167471c0-9faf-4d4d-b9c3-291e859d3dcd,1.2,10,6.0,2,FF,36.512166666666666
1699d7c9-be90-437a-bd68-eff94e651105,1.6428571428571428,14,9.0,2,FF,66.63133333333333
16af37de-347d-4826-8a60-691d9a0e7fea,1.3,10,4.5,2,FM,27.758666666666667
16f12fd9-54ee-44f0-963c-073c4b717635,1.25,8,7.0,2,FM,29.996166666666667
1715e446-f495-48c9-b25b-9dbe4c34108d,1.25,8,6.0,2,FM,31.2605
17460295-99ab-499c-9c0f-8b8524018405,1.0,6,7.0,2,MM,28.450499999999998
178000fe-cade-4f84-94f3-5e2aca75e454,1.0,10,6.0,2,FM,27.7
178bf887-0aff-4253-be58-e363db00af7a,1.4285714285714286,7,7.5,2,FM,31.013666666666666
17ab5197-7d36-4697-a969-e6b8db3862ec,1.25,4,7.0,2,UNK,34.32716666666666
17dbcae3-0087-49c6-af7c-c92099e3377a,1.3333333333333333,12,7.0,2,UNK,34.362
17e0d586-466b-4911-903d-eae6de438b55,1.0,8,7.0,2,FM,29.514
17f79204-f746-4b86-84da-6e1fd27bf6e8,1.0,7,7.5,2,FM,27.17216666666667
1816c0b9-9abc-4330-a66d-e5c1e3c50b95,1.1,10,6.5,2,FF,25.838666666666665
188c0cbf-69bf-487a-bb75-c7b088df160b,1.2,10,7.0,2,FF,30.03533333333333
